first_name,last_name,email,password,last_login,failed_logins,date_created,date_hired,passed_comps,user_type,status
Harv,Stoodale,harv.s@infoxen.com,xwyXDPpxVzk0,2022-01-24,,2021-02-17,2021-04-15,,1,1
John,Ipson,john.i@infoxen.com,one2three,2021-06-25,1,2021-04-22,2021-02-27,,1,1
Hewet,Bullcock,hewet.b@infoxen.com,igPTC07amhHf,2021-10-25,,2021-03-13,2020-12-12,,,1
Harriot,Ledward,harriot.l@infoxen.com,YyKJTTL0Zq8,,1,2021-09-26,2021-07-18,,,
Peadar,Larose,peadar.l@infoxen.com,plSMGlM,2022-02-26,,2020-10-12,2021-11-15,,,1
Raina,Challice,raina.c@infoxen.com,8MlSPnC,2021-08-10,0,2021-04-28,2021-06-16,,,1
Cindie,Pauwel,cindie.p@infoxen.com,xUUSCU,,0,2021-07-30,2020-12-18,,,
Candie,Rummery,candie.r@infoxen.com,jvTFlt,,,2021-03-31,2021-08-11,,,
Augie,Leport,augie.l@infoxen.com,10mcN1,2021-10-30,,2021-03-22,2021-12-06,,,1
Tasia,Stoney,tasia.s@infoxen.com,rtbWpC9YZ,2021-01-05,,2021-02-12,2021-12-06,,,1
Frazer,McMeanma,frazer.m@infoxen.com,H8J2eSbC,2021-08-10,0,2020-10-29,2021-01-03,,,1
Dieter,Follows,dieter.f@infoxen.com,99vHQLTaM,,1,2021-04-05,2021-10-28,,,
Christi,Morgen,christi.m@infoxen.com,lT1mWQ,,0,2021-09-07,2021-05-02,,1,
Devonna,Watchorn,devonna.w@infoxen.com,O2WgzpULs3I,2021-08-10,0,2021-07-02,2021-04-07,,,1
Perkin,Dene,perkin.d@infoxen.com,6YUxWi,2022-02-10,,2021-04-11,2021-10-23,,1,1
Donnie,Searle,donnie.s@infoxen.com,t4UCvMFv4,2021-09-17,1,2020-11-27,2020-11-25,,,1
Cointon,Eastwell,cointon.e@infoxen.com,6mOZ321x,2021-02-22,1,2020-11-12,2021-06-07,,1,1
Alina,Beedon,alina.b@infoxen.com,XI7VF4HK,,0,2021-01-28,2021-05-21,,,
Theda,Baynton,theda.b@infoxen.com,hXcqMFF,2021-08-03,1,2021-08-03,2021-12-20,,,1
Maggi,MacBrearty,maggi.m@infoxen.com,1pgnlHVcvxUj,,,2021-06-16,2021-03-15,,1,
Lionel,Phillott,lionel.p@infoxen.com,73NC2Shbm,2021-07-26,,2021-11-01,2021-06-19,,,1
Jilly,Tesh,jilly.t@infoxen.com,S7wCwHo,,0,2021-07-16,2020-10-06,,,
Aurora,Mallon,aurora.m@infoxen.com,1SafWn,,1,2021-11-07,2021-03-27,,,
Perrine,Nind,perrine.n@infoxen.com,JgJX5uDFx5w,2021-09-18,,2021-12-18,2021-01-26,,,1
Candice,Durbyn,candice.d@infoxen.com,q7Xw3I9ny,2022-01-03,1,2020-10-17,2021-01-28,,1,1
